idNumber;name;description;picture;taste;idealTemperature;origin;price;
W0001;Chateau Margaux;A legendary Bordeaux, Château Margaux exhibits deep aromas of blackcurrant, cedar, and violets, with smooth, refined tannins. Known for its elegance and aging potential, it develops layers of complexity over time. This wine embodies the essence of the Médoc terroir.;./public/img/01chateau_margaux.webp;Red Wine;15;Bordeaux;450;
W0002;Opus One;Opus One blends Napa Valley richness with Bordeaux finesse, offering notes of blackberry, cassis, and mocha. This balanced, full-bodied wine has a smooth, long finish and aging potential. It’s celebrated as one of California’s finest Bordeaux-style wines.;./public/img/02opus_one.webp;Red Wine;16;Napa Valley;300;
W0003;Domaine Leroy;Domaine Leroy’s Burgundy wines are known for their vibrant red fruit, floral notes, and earthy undertones. Silky and complex, they reveal delicate layers as they age. This producer is revered for its commitment to quality and traditional winemaking practices.;./public/img/03domaine_leroy.webp;White Wine;17;Burgundy;600;
W0004;Penfolds Grange;Australia’s iconic Shiraz, Penfolds Grange is rich with bold flavors of plum, chocolate, and exotic spices. It’s powerful yet balanced, with a velvety texture and long finish. A wine with great aging potential and global acclaim.;./public/img/04penfolds_grange.webp;Red Wine;18;Barossa Valley;700;
W0005;Cloudy Bay;Cloudy Bay Sauvignon Blanc captures the essence of New Zealand with tropical fruit, citrus, and mineral notes. Crisp and refreshing, it’s balanced with vibrant acidity. This wine is internationally renowned for its quality and distinctive style.;./public/img/05cloudy_bay.webp;White Wine;19;Marlborough;35;
W0006;Sassicaia;Sassicaia is an elegant Super Tuscan with aromas of dark berries, cedar, and tobacco. This Cabernet Sauvignon blend is smooth and refined, with a long, savory finish. Its structure and complexity make it ideal for aging.;./public/img/06sassicaia.webp;Red Wine;20;Tuscany;200;
W0007;Vega Sicilia;Vega Sicilia, a Spanish classic, combines dark fruit, leather, and earthy nuances in a rich, complex profile. Silky tannins and balanced acidity give it exceptional aging potential. This wine epitomizes Ribera del Duero’s finest winemaking.;./public/img/07vega_sicilia.webp;Red Wine;21;Ribera del Duero;500;
W0008;Chateau d'Yquem;This Sauternes masterpiece is luscious with flavors of honeyed apricot, peach, and orange zest. Balanced by crisp acidity, it’s remarkably complex and long-lived. Château d'Yquem is revered as one of the world’s finest dessert wines.;./public/img/08chateau_dyquem.webp;Dessert Wine;22;Bordeaux;450;
W0009;Silver Oak;Silver Oak’s Cabernet Sauvignon is bold, with notes of blackberry, cassis, and a touch of oak. Full-bodied and smooth, it finishes with elegance and finesse. This iconic California wine is a favorite for its consistency and character.;./public/img/09silver_oak.webp;Red Wine;23;Napa Valley;150;
W0010;Gaja Barbaresco;Gaja’s Barbaresco is a benchmark Italian wine with aromas of cherry, roses, and spice. Silky and structured, it offers layers of flavor that evolve with age. This wine represents Piedmont’s finest expressions of Nebbiolo.;./public/img/10gaja_barbaresco.webp;Red Wine;24;Piedmont;250;
W0011;Torres Mas La Plana;Mas La Plana is a rich, elegant Cabernet Sauvignon from Spain, showcasing notes of blackcurrant, cocoa, and subtle oak. Smooth tannins and balanced acidity highlight its structure. This wine is celebrated for its depth and Mediterranean character.;./public/img/11torres_mas_la_plana.webp;Red Wine;25;Penedès;60;
W0012;Beringer Private Reserve;A bold Napa Valley Cabernet Sauvignon, Beringer Private Reserve exudes aromas of blackberry, dark chocolate, and vanilla. Full-bodied with firm tannins, it has a velvety texture and a long, elegant finish. This wine ages beautifully, showcasing California’s terroir.;./public/img/12beringer_private_reserve.webp;Red Wine;15;Napa Valley;170;
W0013;Joseph Drouhin;Joseph Drouhin produces refined Burgundies with notes of cherry, earth, and spice. Delicate yet structured, these wines offer a harmonious balance of fruit and acidity. They are known for their elegance and faithful expression of Burgundy’s unique terroirs.;./public/img/13joseph_drouhin.webp;White Wine;16;Burgundy;55;
W0014;Almaviva;Almaviva, a collaboration between Bordeaux and Chile, offers a powerful blend with notes of blackberry, cedar, and tobacco. Full-bodied and rich, it has smooth tannins and a long finish. This wine represents the best of Chile’s Maipo Valley.;./public/img/14almaviva.webp;Red Wine;17;Maipo Valley;120;
